,height,weight,duration,calorie,Height_meters,calculated_IMC
68,169.0,69.0,22.0,166.0,1.69,24.158817968558527
69,174.0,69.0,28.0,202.0,1.74,22.79032897344431
70,182.0,83.0,20.0,107.0,1.82,25.057360222195385
71,163.0,68.0,29.0,199.0,1.63,25.59373706198954
72,192.0,93.0,5.0,25.0,1.92,25.227864583333336
73,179.0,67.0,8.0,23.0,1.79,20.91070815517618
74,192.0,92.0,24.0,200.0,1.92,24.95659722222222
75,168.0,64.0,2.0,6.0,1.68,22.67573696145125
76,178.0,83.0,2.0,7.0,1.78,26.19618735008206
77,168.0,68.0,20.0,113.0,1.68,24.092970521541954
78,168.0,63.0,29.0,188.0,1.68,22.321428571428577
79,165.0,72.0,20.0,103.0,1.65,26.44628099173554
80,197.0,101.0,17.0,128.0,1.97,26.02489113349996
81,187.0,89.0,23.0,130.0,1.87,25.45111384369012
82,144.0,50.0,7.0,27.0,1.44,24.112654320987655
83,163.0,62.0,27.0,185.0,1.63,23.335466144755166
84,155.0,57.0,11.0,57.0,1.55,23.725286160249738
85,189.0,88.0,13.0,65.0,1.89,24.635368550712467
86,160.0,60.0,16.0,91.0,1.6,23.437499999999996
87,164.0,64.0,19.0,120.0,1.64,23.795359904818564
88,166.0,68.0,12.0,70.0,1.66,24.677021338365513
89,202.0,100.0,9.0,39.0,2.02,24.50740123517302
90,171.0,80.0,22.0,136.0,1.71,27.358845456721728
91,169.0,64.0,14.0,77.0,1.69,22.40817898532965
92,174.0,67.0,9.0,42.0,1.74,22.12973972783723
93,184.0,91.0,7.0,41.0,1.84,26.878544423440452
94,159.0,59.0,14.0,59.0,1.59,23.337684427040067
95,201.0,98.0,24.0,179.0,2.01,24.256825326105798
96,171.0,74.0,2.0,6.0,1.71,25.3069320474676
97,155.0,62.0,5.0,13.0,1.55,25.806451612903224
98,189.0,87.0,23.0,147.0,1.89,24.355421180818006
99,183.0,88.0,26.0,180.0,1.83,26.27728507868255
100,201.0,107.0,14.0,101.0,2.01,26.484492958095103
101,158.0,53.0,23.0,150.0,1.58,21.230572023714146
102,165.0,60.0,25.0,179.0,1.65,22.03856749311295
103,195.0,93.0,6.0,23.0,1.95,24.45759368836292
104,190.0,96.0,3.0,10.0,1.9,26.59279778393352
105,175.0,74.0,9.0,39.0,1.75,24.163265306122447
106,169.0,81.0,30.0,247.0,1.69,28.360351528307834
107,159.0,53.0,19.0,89.0,1.59,20.964360587002094
108,181.0,83.0,25.0,141.0,1.81,25.33500198406642
109,160.0,62.0,4.0,18.0,1.6,24.218749999999996
110,171.0,67.0,15.0,70.0,1.71,22.91303307000445
111,188.0,90.0,29.0,185.0,1.88,25.46401086464464
112,136.0,45.0,11.0,54.0,1.36,24.329584775086502
113,152.0,60.0,29.0,207.0,1.52,25.969529085872576
114,189.0,91.0,27.0,189.0,1.89,25.475210660395845
115,171.0,74.0,2.0,6.0,1.71,25.3069320474676
116,180.0,76.0,12.0,60.0,1.8,23.456790123456788
117,194.0,92.0,6.0,23.0,1.94,24.444680624933575
118,158.0,60.0,27.0,186.0,1.58,24.034609838166958
119,188.0,93.0,28.0,178.0,1.88,26.312811226799457
120,169.0,73.0,25.0,122.0,1.69,25.55932915514163
121,159.0,68.0,24.0,166.0,1.59,26.897670187097027
122,176.0,86.0,20.0,158.0,1.76,27.763429752066116
123,182.0,70.0,2.0,7.0,1.82,21.132713440405748
124,201.0,96.0,18.0,143.0,2.01,23.761788074552616
125,156.0,52.0,12.0,43.0,1.56,21.367521367521366
126,143.0,49.0,17.0,86.0,1.43,23.96205193407991
127,175.0,72.0,23.0,128.0,1.75,23.510204081632654
128,186.0,79.0,29.0,182.0,1.86,22.835009827725745
129,170.0,70.0,10.0,52.0,1.7,24.221453287197235
130,179.0,91.0,27.0,236.0,1.79,28.40111107643332
131,192.0,96.0,19.0,114.0,1.92,26.041666666666668
132,174.0,67.0,11.0,64.0,1.74,22.12973972783723
133,184.0,86.0,26.0,171.0,1.84,25.401701323251416
134,179.0,84.0,6.0,19.0,1.79,26.216410224399986
135,149.0,54.0,21.0,144.0,1.49,24.32322868339264
136,172.0,76.0,9.0,37.0,1.72,25.689561925365066
137,185.0,78.0,26.0,185.0,1.85,22.79035792549306
138,174.0,69.0,13.0,60.0,1.74,22.79032897344431
139,189.0,90.0,22.0,127.0,1.89,25.195263290501387
140,166.0,73.0,23.0,149.0,1.66,26.491508201480624
141,169.0,71.0,16.0,78.0,1.69,24.859073561850078
142,164.0,63.0,5.0,24.0,1.64,23.423557406305775
143,157.0,57.0,23.0,143.0,1.57,23.124670372023203
144,188.0,84.0,27.0,143.0,1.88,23.766410140334994
145,163.0,66.0,15.0,71.0,1.63,24.840980089578082
146,182.0,90.0,11.0,58.0,1.82,27.17063156623596
147,178.0,77.0,15.0,71.0,1.78,24.302487059714682
148,184.0,87.0,5.0,20.0,1.84,25.697069943289225
149,191.0,93.0,17.0,78.0,1.91,25.492722238973712
150,176.0,76.0,19.0,93.0,1.76,24.535123966942148
151,158.0,58.0,6.0,17.0,1.58,23.233456176894723
152,190.0,87.0,3.0,12.0,1.9,24.099722991689752
153,181.0,81.0,23.0,115.0,1.81,24.724520008546747
154,165.0,65.0,19.0,119.0,1.65,23.875114784205696
155,153.0,53.0,26.0,168.0,1.53,22.64086462471699
156,198.0,100.0,12.0,44.0,1.98,25.507601265177023
157,148.0,51.0,29.0,192.0,1.48,23.283418553688826
158,147.0,47.0,17.0,96.0,1.47,21.75019667731038
159,170.0,68.0,23.0,135.0,1.7,23.529411764705884
160,167.0,60.0,12.0,54.0,1.67,21.513858510523864
161,171.0,79.0,30.0,239.0,1.71,27.01685988851271
162,169.0,65.0,14.0,69.0,1.69,22.758306781975424
163,179.0,80.0,14.0,46.0,1.79,24.968009737523797
164,164.0,63.0,21.0,115.0,1.64,23.423557406305775
165,163.0,62.0,4.0,17.0,1.63,23.335466144755166
166,151.0,57.0,25.0,190.0,1.51,24.998903556861542
167,190.0,91.0,12.0,48.0,1.9,25.207756232686982
168,176.0,72.0,27.0,178.0,1.76,23.243801652892564
169,191.0,95.0,6.0,20.0,1.91,26.040952824758094
170,167.0,69.0,15.0,64.0,1.67,24.740937287102444
171,154.0,57.0,19.0,95.0,1.54,24.034407151290267
172,183.0,89.0,25.0,196.0,1.83,26.575890590940304
173,185.0,91.0,2.0,9.0,1.85,26.588750913075234
174,192.0,83.0,18.0,105.0,1.92,22.51519097222222
175,157.0,61.0,12.0,58.0,1.57,24.747454257779218
176,179.0,77.0,24.0,111.0,1.79,24.031709372366656
177,182.0,86.0,17.0,108.0,1.82,25.963047941069917
178,202.0,109.0,6.0,24.0,2.02,26.713067346338594
179,163.0,61.0,13.0,67.0,1.63,22.95908765854944
180,153.0,54.0,13.0,62.0,1.53,23.06805074971165
181,178.0,76.0,28.0,172.0,1.78,23.98687034465345
182,172.0,71.0,7.0,24.0,1.72,23.99945916711736
183,178.0,77.0,19.0,84.0,1.78,24.302487059714682
184,173.0,69.0,20.0,132.0,1.73,23.054562464499313
185,179.0,75.0,25.0,167.0,1.79,23.40750912892856
186,154.0,52.0,17.0,101.0,1.54,21.926125822229718
187,180.0,75.0,23.0,113.0,1.8,23.148148148148145
188,179.0,78.0,17.0,84.0,1.79,24.343809494085704
189,165.0,68.0,6.0,28.0,1.65,24.977043158861342
190,191.0,98.0,22.0,157.0,1.91,26.863298703434666
191,181.0,91.0,14.0,64.0,1.81,27.776929886145112
192,192.0,92.0,21.0,133.0,1.92,24.95659722222222
193,164.0,59.0,23.0,145.0,1.64,21.936347412254616
194,178.0,83.0,24.0,174.0,1.78,26.19618735008206
195,174.0,75.0,7.0,34.0,1.74,24.772096710265558
196,158.0,57.0,29.0,193.0,1.58,22.832879346258608
197,180.0,86.0,24.0,147.0,1.8,26.54320987654321
198,171.0,72.0,18.0,133.0,1.71,24.622960911049557
199,199.0,104.0,26.0,161.0,1.99,26.261963081740358
200,168.0,62.0,6.0,18.0,1.68,21.9671201814059
201,187.0,96.0,12.0,85.0,1.87,27.45288684263204
202,193.0,90.0,15.0,90.0,1.93,24.161722462347985
203,188.0,90.0,23.0,176.0,1.88,25.46401086464464
204,166.0,66.0,11.0,51.0,1.66,23.95122659311947
205,173.0,66.0,7.0,24.0,1.73,22.052190183434128
206,161.0,57.0,6.0,22.0,1.61,21.98989236526368
207,197.0,102.0,25.0,212.0,1.97,26.282563322940554
208,171.0,78.0,29.0,201.0,1.71,26.674874320303687
209,159.0,59.0,17.0,83.0,1.59,23.337684427040067
210,204.0,103.0,14.0,87.0,2.04,24.750096116878122
211,163.0,67.0,27.0,141.0,1.63,25.21735857578381
212,159.0,63.0,23.0,134.0,1.59,24.919900320398717
213,180.0,84.0,2.0,5.0,1.8,25.925925925925924
214,191.0,94.0,29.0,201.0,1.91,25.766837531865903
215,181.0,78.0,3.0,9.0,1.81,23.808797045267237
216,191.0,86.0,8.0,20.0,1.91,23.573915188728378
217,203.0,105.0,29.0,221.0,2.03,25.479870901987436
218,157.0,63.0,17.0,112.0,1.57,25.558846200657225
219,185.0,93.0,20.0,108.0,1.85,27.173119065010955
220,204.0,112.0,29.0,257.0,2.04,26.91272587466359
221,194.0,87.0,27.0,192.0,1.94,23.11616537357849
222,190.0,96.0,17.0,72.0,1.9,26.59279778393352
223,173.0,71.0,28.0,169.0,1.73,23.722810651876106
224,168.0,77.0,18.0,120.0,1.68,27.281746031746035
225,186.0,85.0,28.0,172.0,1.86,24.56931437160365
226,179.0,73.0,10.0,21.0,1.79,22.783308885490467
227,161.0,56.0,18.0,105.0,1.61,21.60410477990818
228,168.0,65.0,25.0,156.0,1.68,23.030045351473927
229,145.0,50.0,3.0,13.0,1.45,23.781212841854934
230,190.0,97.0,24.0,134.0,1.9,26.869806094182827
231,157.0,60.0,21.0,130.0,1.57,24.341758286340216
232,195.0,99.0,2.0,7.0,1.95,26.035502958579883
233,175.0,67.0,25.0,140.0,1.75,21.877551020408163
234,198.0,97.0,7.0,34.0,1.98,24.742373227221712
235,175.0,74.0,9.0,34.0,1.75,24.163265306122447
236,160.0,63.0,8.0,44.0,1.6,24.609374999999996
237,172.0,71.0,11.0,42.0,1.72,23.99945916711736
238,161.0,60.0,2.0,9.0,1.61,23.147255121330193
239,164.0,60.0,18.0,107.0,1.64,22.308149910767405
240,174.0,75.0,9.0,39.0,1.74,24.772096710265558
241,166.0,68.0,26.0,178.0,1.66,24.677021338365513
242,149.0,55.0,13.0,79.0,1.49,24.77365884419621
243,200.0,105.0,15.0,113.0,2.0,26.25
244,163.0,58.0,22.0,143.0,1.63,21.829952199932254
245,163.0,57.0,4.0,16.0,1.63,21.453573713726524
246,189.0,91.0,24.0,137.0,1.89,25.475210660395845
247,183.0,81.0,17.0,71.0,1.83,24.187046492878256
248,159.0,62.0,13.0,72.0,1.59,24.524346347059055
249,188.0,90.0,14.0,76.0,1.88,25.46401086464464
250,197.0,103.0,27.0,187.0,1.97,26.540235512381148
251,145.0,49.0,18.0,109.0,1.45,23.305588585017837
252,176.0,79.0,29.0,204.0,1.76,25.50361570247934
253,157.0,60.0,6.0,29.0,1.57,24.341758286340216
254,200.0,101.0,17.0,91.0,2.0,25.25
255,163.0,58.0,4.0,16.0,1.63,21.829952199932254
256,187.0,97.0,7.0,36.0,1.87,27.738854413909458
257,184.0,93.0,13.0,80.0,1.84,27.469281663516067
258,182.0,75.0,22.0,151.0,1.82,22.6421929718633
259,183.0,80.0,27.0,195.0,1.83,23.888440980620498
260,172.0,72.0,8.0,26.0,1.72,24.337479718766904
261,193.0,100.0,22.0,138.0,1.93,26.846358291497758
262,170.0,65.0,3.0,15.0,1.7,22.49134948096886
263,171.0,75.0,19.0,120.0,1.71,25.64891761567662
264,182.0,81.0,30.0,197.0,1.82,24.453568409612362
265,192.0,95.0,21.0,114.0,1.92,25.770399305555557
266,163.0,59.0,20.0,127.0,1.63,22.20633068613798
267,185.0,83.0,23.0,112.0,1.85,24.251278305332356
268,168.0,67.0,21.0,116.0,1.68,23.738662131519277
269,156.0,61.0,8.0,35.0,1.56,25.06574621959237
270,194.0,101.0,16.0,110.0,1.94,26.83600807737273
271,150.0,51.0,22.0,117.0,1.5,22.666666666666668
272,195.0,95.0,17.0,115.0,1.95,24.983563445101908
273,188.0,93.0,21.0,157.0,1.88,26.312811226799457
274,158.0,60.0,12.0,54.0,1.58,24.034609838166958
275,178.0,80.0,25.0,163.0,1.78,25.24933720489837
276,172.0,82.0,19.0,156.0,1.72,27.717685235262305
277,195.0,92.0,10.0,42.0,1.95,24.194608809993426
278,152.0,50.0,7.0,35.0,1.52,21.641274238227147
279,158.0,57.0,7.0,34.0,1.58,22.832879346258608
280,188.0,92.0,19.0,99.0,1.88,26.029877772747852
281,192.0,97.0,20.0,161.0,1.92,26.31293402777778
282,153.0,54.0,8.0,38.0,1.53,23.06805074971165
283,161.0,61.0,18.0,104.0,1.61,23.533042706685695
284,184.0,86.0,27.0,200.0,1.84,25.401701323251416
285,162.0,72.0,28.0,183.0,1.62,27.43484224965706
286,175.0,75.0,19.0,140.0,1.75,24.489795918367346
287,163.0,65.0,19.0,100.0,1.63,24.46460160337235
288,190.0,95.0,22.0,178.0,1.9,26.315789473684212
289,195.0,89.0,27.0,150.0,1.95,23.405654174884944
290,164.0,68.0,15.0,83.0,1.64,25.282569898869724
291,179.0,79.0,6.0,12.0,1.79,24.65590961580475
292,170.0,72.0,8.0,49.0,1.7,24.913494809688583
293,179.0,85.0,25.0,147.0,1.79,26.528510346119035
294,193.0,100.0,8.0,44.0,1.93,26.846358291497758
295,168.0,67.0,29.0,179.0,1.68,23.738662131519277
296,156.0,56.0,23.0,161.0,1.56,23.011176857330703
297,178.0,80.0,9.0,20.0,1.78,25.24933720489837
298,168.0,65.0,21.0,127.0,1.68,23.030045351473927
299,189.0,95.0,30.0,247.0,1.89,26.595000139973685
300,177.0,86.0,23.0,173.0,1.77,27.450604870886398
301,169.0,69.0,1.0,3.0,1.69,24.158817968558527
302,205.0,112.0,6.0,32.0,2.05,26.65080309339679
303,177.0,70.0,22.0,140.0,1.77,22.34351559258195
304,160.0,70.0,8.0,34.0,1.6,27.343749999999996
305,172.0,75.0,8.0,30.0,1.72,25.351541373715524
306,161.0,54.0,13.0,64.0,1.61,20.832529609197174
307,185.0,89.0,27.0,152.0,1.85,26.004382761139514
308,184.0,89.0,15.0,91.0,1.84,26.287807183364837
309,186.0,90.0,4.0,9.0,1.86,26.014568158168572
310,176.0,72.0,5.0,20.0,1.76,23.243801652892564
311,160.0,59.0,25.0,156.0,1.6,23.046874999999996
312,208.0,105.0,26.0,223.0,2.08,24.269600591715975
313,191.0,93.0,16.0,83.0,1.91,25.492722238973712
314,168.0,69.0,11.0,51.0,1.68,24.44727891156463
315,193.0,95.0,10.0,52.0,1.93,25.50404037692287
316,169.0,68.0,25.0,170.0,1.69,23.80869017191275
317,164.0,57.0,2.0,7.0,1.64,21.192742415229034
318,166.0,61.0,25.0,149.0,1.66,22.136739730004358
319,181.0,80.0,27.0,181.0,1.81,24.41927902078691
320,167.0,71.0,27.0,201.0,1.67,25.458065904119906
321,205.0,103.0,7.0,23.0,2.05,24.50922070196312
322,187.0,86.0,23.0,109.0,1.87,24.59321112985787
323,169.0,72.0,8.0,30.0,1.69,25.209201358495854
324,160.0,66.0,15.0,84.0,1.6,25.781249999999996
325,184.0,85.0,19.0,128.0,1.84,25.10633270321361
326,189.0,92.0,23.0,137.0,1.89,25.755158030290307
327,194.0,91.0,28.0,216.0,1.94,24.178977574662557
328,157.0,54.0,12.0,68.0,1.57,21.907582457706194
329,198.0,101.0,18.0,129.0,1.98,25.762677277828793
330,195.0,99.0,11.0,50.0,1.95,26.035502958579883
331,164.0,65.0,5.0,19.0,1.64,24.167162403331353
332,163.0,60.0,7.0,30.0,1.63,22.582709172343712
333,165.0,67.0,27.0,197.0,1.65,24.609733700642796
334,173.0,78.0,4.0,24.0,1.73,26.061679307694877
335,164.0,67.0,13.0,70.0,1.64,24.910767400356935
336,200.0,100.0,12.0,54.0,2.0,25.0
337,184.0,78.0,19.0,88.0,1.84,23.03875236294896
338,190.0,97.0,7.0,24.0,1.9,26.869806094182827
339,174.0,68.0,19.0,121.0,1.74,22.460034350640772
340,178.0,77.0,11.0,57.0,1.78,24.302487059714682
341,192.0,99.0,22.0,126.0,1.92,26.85546875
342,184.0,88.0,5.0,24.0,1.84,25.99243856332703
343,166.0,65.0,11.0,41.0,1.66,23.588329220496444
344,192.0,92.0,7.0,28.0,1.92,24.95659722222222
345,191.0,88.0,10.0,34.0,1.91,24.12214577451276
346,195.0,93.0,23.0,161.0,1.95,24.45759368836292
347,175.0,76.0,4.0,20.0,1.75,24.816326530612244
348,191.0,86.0,23.0,119.0,1.91,23.573915188728378
349,162.0,59.0,11.0,63.0,1.62,22.481329065691202
350,180.0,75.0,12.0,58.0,1.8,23.148148148148145
351,163.0,58.0,30.0,215.0,1.63,21.829952199932254
352,168.0,67.0,17.0,96.0,1.68,23.738662131519277
353,176.0,71.0,24.0,160.0,1.76,22.920971074380166
354,150.0,50.0,25.0,154.0,1.5,22.22222222222222
355,182.0,84.0,5.0,11.0,1.82,25.359256128486894
356,183.0,83.0,23.0,122.0,1.83,24.78425751739377
357,158.0,57.0,22.0,124.0,1.58,22.832879346258608
358,172.0,69.0,21.0,113.0,1.72,23.323418063818284
359,183.0,79.0,3.0,9.0,1.83,23.589835468362743
360,181.0,79.0,29.0,208.0,1.81,24.114038033027075
361,178.0,83.0,19.0,101.0,1.78,26.19618735008206
362,194.0,91.0,14.0,66.0,1.94,24.178977574662557
363,197.0,98.0,14.0,100.0,1.97,25.25187456517818
364,172.0,77.0,13.0,65.0,1.72,26.027582477014604
365,176.0,76.0,13.0,47.0,1.76,24.535123966942148
366,197.0,96.0,3.0,8.0,1.97,24.736530186296992
367,160.0,63.0,4.0,17.0,1.6,24.609374999999996
368,183.0,83.0,21.0,101.0,1.83,24.78425751739377
369,169.0,67.0,5.0,18.0,1.69,23.458562375266975
370,202.0,98.0,21.0,131.0,2.02,24.017253210469562
371,175.0,72.0,10.0,58.0,1.75,23.510204081632654
372,162.0,59.0,15.0,87.0,1.62,22.481329065691202
373,200.0,99.0,24.0,152.0,2.0,24.75
374,191.0,95.0,28.0,193.0,1.91,26.040952824758094
375,176.0,83.0,10.0,51.0,1.76,26.794938016528928
376,178.0,80.0,25.0,157.0,1.78,25.24933720489837
377,174.0,75.0,27.0,165.0,1.74,24.772096710265558
378,174.0,67.0,6.0,22.0,1.74,22.12973972783723
379,179.0,72.0,17.0,91.0,1.79,22.47120876377142
380,178.0,78.0,2.0,9.0,1.78,24.61810377477591
381,186.0,93.0,14.0,74.0,1.86,26.881720430107524
382,185.0,96.0,5.0,26.0,1.85,28.04967129291453
383,187.0,84.0,11.0,57.0,1.87,24.021275987303035
384,162.0,63.0,10.0,37.0,1.62,24.005486968449926
385,167.0,67.0,29.0,217.0,1.67,24.023808670084982
386,183.0,86.0,11.0,47.0,1.83,25.680074054167036
387,192.0,98.0,24.0,139.0,1.92,26.58420138888889
388,180.0,75.0,4.0,19.0,1.8,23.148148148148145
389,157.0,59.0,16.0,80.0,1.57,23.93606231490121
390,193.0,93.0,17.0,74.0,1.93,24.967113211092915
391,148.0,51.0,10.0,54.0,1.48,23.283418553688826
392,182.0,78.0,28.0,154.0,1.82,23.54788069073783
393,162.0,62.0,26.0,140.0,1.62,23.624447492760247
394,192.0,98.0,10.0,52.0,1.92,26.58420138888889
395,192.0,99.0,15.0,79.0,1.92,26.85546875
396,181.0,84.0,17.0,94.0,1.81,25.640242971826257
397,193.0,85.0,28.0,202.0,1.93,22.819404547773097
398,164.0,75.0,27.0,238.0,1.64,27.885187388459254
399,182.0,82.0,19.0,117.0,1.82,24.755464315903875
400,209.0,111.0,7.0,26.0,2.09,25.4115061468373
401,203.0,97.0,23.0,184.0,2.03,23.538547404693155
402,162.0,64.0,28.0,169.0,1.62,24.38652644413961
403,189.0,91.0,1.0,2.0,1.89,25.475210660395845
404,182.0,83.0,27.0,162.0,1.82,25.057360222195385
405,159.0,55.0,13.0,62.0,1.59,21.75546853368142
406,190.0,94.0,21.0,150.0,1.9,26.038781163434905
407,165.0,59.0,27.0,183.0,1.65,21.6712580348944
408,179.0,74.0,25.0,138.0,1.79,23.095409007209515
409,185.0,88.0,15.0,99.0,1.85,25.712198685171657
410,147.0,45.0,23.0,128.0,1.47,20.824656393169516
411,175.0,68.0,12.0,54.0,1.75,22.20408163265306
412,193.0,103.0,18.0,127.0,1.93,27.65174904024269
413,177.0,79.0,5.0,11.0,1.77,25.2162533116282
414,167.0,73.0,18.0,66.0,1.67,26.175194521137367
415,180.0,84.0,11.0,49.0,1.8,25.925925925925924
416,173.0,67.0,10.0,42.0,1.73,22.386314277122523
417,179.0,79.0,7.0,37.0,1.79,24.65590961580475
418,154.0,55.0,3.0,12.0,1.54,23.19109461966605
419,186.0,84.0,29.0,243.0,1.86,24.280263614290668
420,167.0,58.0,5.0,14.0,1.67,20.796729893506402
421,154.0,59.0,28.0,171.0,1.54,24.87771968291449
422,166.0,75.0,28.0,241.0,1.66,27.21730294672667
423,173.0,73.0,20.0,125.0,1.73,24.3910588392529
424,179.0,81.0,26.0,171.0,1.79,25.280109859242845
425,198.0,96.0,9.0,52.0,1.98,24.487297214569942
426,201.0,104.0,28.0,187.0,2.01,25.741937080765336
427,178.0,74.0,24.0,141.0,1.78,23.355636914530994
428,199.0,103.0,28.0,314.0,1.99,26.009444205954395
429,173.0,73.0,26.0,159.0,1.73,24.3910588392529
430,169.0,62.0,9.0,30.0,1.69,21.707923392038097
431,173.0,72.0,28.0,176.0,1.73,24.0569347455645
432,178.0,82.0,25.0,211.0,1.78,25.88057063502083
433,170.0,68.0,8.0,29.0,1.7,23.529411764705884
434,171.0,69.0,21.0,99.0,1.71,23.59700420642249
435,169.0,69.0,27.0,190.0,1.69,24.158817968558527
436,190.0,95.0,7.0,22.0,1.9,26.315789473684212
437,191.0,92.0,30.0,247.0,1.91,25.218606946081522
438,206.0,103.0,5.0,17.0,2.06,24.271844660194176
439,160.0,65.0,8.0,37.0,1.6,25.390624999999996
440,167.0,67.0,21.0,117.0,1.67,24.023808670084982
441,188.0,90.0,10.0,52.0,1.88,25.46401086464464
442,166.0,64.0,2.0,7.0,1.66,23.225431847873423
443,172.0,74.0,10.0,68.0,1.72,25.013520822065985
444,176.0,84.0,17.0,74.0,1.76,27.117768595041323
445,185.0,91.0,24.0,154.0,1.85,26.588750913075234
446,156.0,60.0,26.0,165.0,1.56,24.654832347140037
447,187.0,89.0,17.0,96.0,1.87,25.45111384369012
448,188.0,91.0,13.0,77.0,1.88,25.746944318696244
449,168.0,63.0,17.0,86.0,1.68,22.321428571428577
450,201.0,104.0,21.0,129.0,2.01,25.741937080765336
451,149.0,51.0,26.0,151.0,1.49,22.97193820098194
452,182.0,81.0,28.0,197.0,1.82,24.453568409612362
453,193.0,92.0,13.0,77.0,1.93,24.69864962817794
454,156.0,61.0,5.0,22.0,1.56,25.06574621959237
455,182.0,82.0,27.0,161.0,1.82,24.755464315903875
456,155.0,55.0,25.0,192.0,1.55,22.892819979188342
457,159.0,58.0,8.0,37.0,1.59,22.942130453700404
458,188.0,91.0,20.0,135.0,1.88,25.746944318696244
459,179.0,77.0,11.0,55.0,1.79,24.031709372366656
460,169.0,71.0,10.0,29.0,1.69,24.859073561850078
461,185.0,88.0,12.0,52.0,1.85,25.712198685171657
462,173.0,73.0,1.0,2.0,1.73,24.3910588392529
463,183.0,81.0,21.0,106.0,1.83,24.187046492878256
464,183.0,80.0,6.0,28.0,1.83,23.888440980620498
