,age,height,weight,duration,heart_rate,body_temp,calorie,female,male,Height_meters,calculated_IMC
57,69,164.0,65.0,23.0,113.0,40.4,173.0,1,0,1.64,24.167162403331353
58,28,198.0,101.0,19.0,95.0,40.6,89.0,0,1,1.98,25.762677277828793
59,70,188.0,89.0,7.0,82.0,39.3,31.0,0,1,1.88,25.18107741059303
60,36,170.0,64.0,9.0,84.0,39.6,35.0,1,0,1.7,22.145328719723185
61,77,177.0,80.0,16.0,98.0,40.6,94.0,1,0,1.77,25.53544639152223
62,32,167.0,63.0,9.0,99.0,39.7,49.0,1,0,1.67,22.589551436050055
63,62,185.0,77.0,13.0,84.0,40.4,54.0,1,0,1.85,22.498173849525198
64,64,151.0,56.0,20.0,97.0,40.4,117.0,1,0,1.51,24.560326301478007
65,45,175.0,79.0,27.0,104.0,40.6,173.0,0,1,1.75,25.79591836734694
66,45,158.0,61.0,20.0,97.0,40.7,99.0,0,1,1.58,24.435186668803073
67,22,177.0,71.0,10.0,93.0,39.8,45.0,1,0,1.77,22.66270867247598
68,45,169.0,69.0,22.0,113.0,40.6,166.0,0,1,1.69,24.158817968558527
69,66,174.0,69.0,28.0,111.0,40.9,202.0,1,0,1.74,22.79032897344431
70,31,182.0,83.0,20.0,101.0,40.9,107.0,0,1,1.82,25.057360222195385
71,57,163.0,68.0,29.0,109.0,40.7,199.0,1,0,1.63,25.59373706198954
72,53,192.0,93.0,5.0,90.0,39.1,25.0,0,1,1.92,25.227864583333336
73,22,179.0,67.0,8.0,77.0,39.5,23.0,1,0,1.79,20.91070815517618
74,67,192.0,92.0,24.0,108.0,40.7,200.0,0,1,1.92,24.95659722222222
75,27,168.0,64.0,2.0,76.0,38.2,6.0,1,0,1.68,22.67573696145125
76,57,178.0,83.0,2.0,79.0,38.1,7.0,0,1,1.78,26.19618735008206
77,49,168.0,68.0,20.0,99.0,40.6,113.0,1,0,1.68,24.092970521541954
78,39,168.0,63.0,29.0,108.0,40.7,188.0,1,0,1.68,22.321428571428577
79,47,165.0,72.0,20.0,96.0,40.3,103.0,0,1,1.65,26.44628099173554
80,62,197.0,101.0,17.0,103.0,40.3,128.0,0,1,1.97,26.02489113349996
81,41,187.0,89.0,23.0,99.0,40.7,130.0,0,1,1.87,25.45111384369012
82,34,144.0,50.0,7.0,83.0,39.3,27.0,1,0,1.44,24.112654320987655
83,40,163.0,62.0,27.0,111.0,41.2,185.0,1,0,1.63,23.335466144755166
84,55,155.0,57.0,11.0,92.0,39.8,57.0,1,0,1.55,23.725286160249738
85,44,189.0,88.0,13.0,94.0,40.0,65.0,0,1,1.89,24.635368550712467
86,45,160.0,60.0,16.0,99.0,40.4,91.0,1,0,1.6,23.437499999999996
87,49,164.0,64.0,19.0,105.0,40.4,120.0,1,0,1.64,23.795359904818564
88,46,166.0,68.0,12.0,101.0,40.1,70.0,1,0,1.66,24.677021338365513
89,25,202.0,100.0,9.0,94.0,39.8,39.0,0,1,2.02,24.50740123517302
90,68,171.0,80.0,22.0,95.0,40.5,136.0,0,1,1.71,27.358845456721728
91,25,169.0,64.0,14.0,101.0,40.2,77.0,1,0,1.69,22.40817898532965
92,31,174.0,67.0,9.0,93.0,39.5,42.0,1,0,1.74,22.12973972783723
93,57,184.0,91.0,7.0,95.0,39.2,41.0,0,1,1.84,26.878544423440452
94,27,159.0,59.0,14.0,88.0,39.9,59.0,1,0,1.59,23.337684427040067
95,40,201.0,98.0,24.0,110.0,40.7,179.0,0,1,2.01,24.256825326105798
96,57,171.0,74.0,2.0,73.0,38.6,6.0,1,0,1.71,25.3069320474676
97,23,155.0,62.0,5.0,74.0,39.2,13.0,1,0,1.55,25.806451612903224
98,23,189.0,87.0,23.0,110.0,40.0,147.0,0,1,1.89,24.355421180818006
99,43,183.0,88.0,26.0,107.0,40.7,180.0,0,1,1.83,26.27728507868255
100,74,201.0,107.0,14.0,96.0,40.1,101.0,0,1,2.01,26.484492958095103
101,45,158.0,53.0,23.0,106.0,40.7,150.0,1,0,1.58,21.230572023714146
102,31,165.0,60.0,25.0,115.0,40.8,179.0,1,0,1.65,22.03856749311295
103,21,195.0,93.0,6.0,93.0,39.2,23.0,0,1,1.95,24.45759368836292
104,50,190.0,96.0,3.0,80.0,38.3,10.0,0,1,1.9,26.59279778393352
105,39,175.0,74.0,9.0,93.0,39.5,39.0,0,1,1.75,24.163265306122447
106,57,169.0,81.0,30.0,112.0,40.9,247.0,0,1,1.69,28.360351528307834
107,26,159.0,53.0,19.0,92.0,40.5,89.0,1,0,1.59,20.964360587002094
108,34,181.0,83.0,25.0,102.0,40.9,141.0,0,1,1.81,25.33500198406642
109,55,160.0,62.0,4.0,87.0,39.1,18.0,1,0,1.6,24.218749999999996
110,52,171.0,67.0,15.0,89.0,40.6,70.0,1,0,1.71,22.91303307000445
111,21,188.0,90.0,29.0,110.0,40.8,185.0,0,1,1.88,25.46401086464464
112,20,136.0,45.0,11.0,94.0,40.1,54.0,1,0,1.36,24.329584775086502
113,79,152.0,60.0,29.0,107.0,40.8,207.0,1,0,1.52,25.969529085872576
114,21,189.0,91.0,27.0,114.0,41.0,189.0,0,1,1.89,25.475210660395845
115,50,171.0,74.0,2.0,82.0,38.1,6.0,0,1,1.71,25.3069320474676
116,29,180.0,76.0,12.0,97.0,39.9,60.0,1,0,1.8,23.456790123456788
117,22,194.0,92.0,6.0,92.0,39.0,23.0,0,1,1.94,24.444680624933575
118,28,158.0,60.0,27.0,113.0,40.8,186.0,1,0,1.58,24.034609838166958
119,38,188.0,93.0,28.0,104.0,40.9,178.0,0,1,1.88,26.312811226799457
120,23,169.0,73.0,25.0,102.0,40.7,122.0,0,1,1.69,25.55932915514163
121,68,159.0,68.0,24.0,108.0,40.5,166.0,1,0,1.59,26.897670187097027
122,79,176.0,86.0,20.0,102.0,40.1,158.0,0,1,1.76,27.763429752066116
123,35,182.0,70.0,2.0,83.0,38.4,7.0,1,0,1.82,21.132713440405748
124,67,201.0,96.0,18.0,105.0,40.5,143.0,0,1,2.01,23.761788074552616
125,21,156.0,52.0,12.0,82.0,39.8,43.0,1,0,1.56,21.367521367521366
126,44,143.0,49.0,17.0,92.0,40.2,86.0,1,0,1.43,23.96205193407991
127,43,175.0,72.0,23.0,100.0,40.7,128.0,1,0,1.75,23.510204081632654
128,21,186.0,79.0,29.0,111.0,41.0,182.0,0,1,1.86,22.835009827725745
129,32,170.0,70.0,10.0,98.0,39.7,52.0,1,0,1.7,24.221453287197235
130,79,179.0,91.0,27.0,107.0,40.4,236.0,0,1,1.79,28.40111107643332
131,51,192.0,96.0,19.0,97.0,40.6,114.0,0,1,1.92,26.041666666666668
132,60,174.0,67.0,11.0,99.0,39.7,64.0,1,0,1.74,22.12973972783723
133,49,184.0,86.0,26.0,103.0,40.8,171.0,0,1,1.84,25.401701323251416
134,46,179.0,84.0,6.0,82.0,39.2,19.0,0,1,1.79,26.216410224399986
135,35,149.0,54.0,21.0,111.0,40.5,144.0,1,0,1.49,24.32322868339264
136,31,172.0,76.0,9.0,94.0,39.7,37.0,0,1,1.72,25.689561925365066
137,42,185.0,78.0,26.0,110.0,41.4,185.0,0,1,1.85,22.79035792549306
138,66,174.0,69.0,13.0,87.0,39.8,60.0,1,0,1.74,22.79032897344431
139,52,189.0,90.0,22.0,96.0,40.5,127.0,0,1,1.89,25.195263290501387
140,59,166.0,73.0,23.0,101.0,40.4,149.0,0,1,1.66,26.491508201480624
141,23,169.0,71.0,16.0,102.0,40.1,78.0,0,1,1.69,24.859073561850078
142,49,164.0,63.0,5.0,91.0,38.9,24.0,1,0,1.64,23.423557406305775
143,25,157.0,57.0,23.0,107.0,40.8,143.0,1,0,1.57,23.124670372023203
144,20,188.0,84.0,27.0,104.0,41.0,143.0,0,1,1.88,23.766410140334994
145,28,163.0,66.0,15.0,94.0,40.1,71.0,1,0,1.63,24.840980089578082
146,60,182.0,90.0,11.0,90.0,40.2,58.0,0,1,1.82,27.17063156623596
147,29,178.0,77.0,15.0,95.0,40.4,71.0,1,0,1.78,24.302487059714682
148,40,184.0,87.0,5.0,88.0,39.5,20.0,0,1,1.84,25.697069943289225
149,26,191.0,93.0,17.0,96.0,40.3,78.0,0,1,1.91,25.492722238973712
150,26,176.0,76.0,19.0,97.0,40.4,93.0,1,0,1.76,24.535123966942148
151,25,158.0,58.0,6.0,90.0,39.2,17.0,0,1,1.58,23.233456176894723
152,60,190.0,87.0,3.0,84.0,38.9,12.0,1,0,1.9,24.099722991689752
153,25,181.0,81.0,23.0,101.0,40.8,115.0,0,1,1.81,24.724520008546747
154,39,165.0,65.0,19.0,106.0,40.6,119.0,1,0,1.65,23.875114784205696
155,30,153.0,53.0,26.0,108.0,40.6,168.0,1,0,1.53,22.64086462471699
156,23,198.0,100.0,12.0,90.0,40.4,44.0,0,1,1.98,25.507601265177023
157,37,148.0,51.0,29.0,108.0,40.6,192.0,1,0,1.48,23.283418553688826
158,22,147.0,47.0,17.0,101.0,40.3,96.0,1,0,1.47,21.75019667731038
159,26,170.0,68.0,23.0,105.0,40.7,135.0,1,0,1.7,23.529411764705884
160,56,167.0,60.0,12.0,86.0,40.2,54.0,1,0,1.67,21.513858510523864
161,43,171.0,79.0,30.0,115.0,40.8,239.0,0,1,1.71,27.01685988851271
162,38,169.0,65.0,14.0,94.0,40.1,69.0,1,0,1.69,22.758306781975424
163,24,179.0,80.0,14.0,90.0,40.7,46.0,0,1,1.79,24.968009737523797
164,25,164.0,63.0,21.0,101.0,40.7,115.0,1,0,1.64,23.423557406305775
165,31,163.0,62.0,4.0,88.0,39.1,17.0,1,0,1.63,23.335466144755166
166,54,151.0,57.0,25.0,115.0,40.4,190.0,1,0,1.51,24.998903556861542
167,34,190.0,91.0,12.0,89.0,40.2,48.0,1,0,1.9,25.207756232686982
168,28,176.0,72.0,27.0,112.0,40.7,178.0,1,0,1.76,23.243801652892564
169,24,191.0,95.0,6.0,88.0,39.3,20.0,0,1,1.91,26.040952824758094
170,27,167.0,69.0,15.0,90.0,40.4,64.0,1,0,1.67,24.740937287102444
171,35,154.0,57.0,19.0,94.0,40.6,95.0,1,0,1.54,24.034407151290267
172,49,183.0,89.0,25.0,111.0,40.8,196.0,0,1,1.83,26.575890590940304
173,36,185.0,91.0,2.0,91.0,38.1,9.0,0,1,1.85,26.588750913075234
174,58,192.0,83.0,18.0,101.0,40.8,105.0,1,0,1.92,22.51519097222222
175,40,157.0,61.0,12.0,92.0,40.0,58.0,1,0,1.57,24.747454257779218
176,31,179.0,77.0,24.0,97.0,40.8,111.0,0,1,1.79,24.031709372366656
177,50,182.0,86.0,17.0,101.0,40.3,108.0,0,1,1.82,25.963047941069917
178,36,202.0,109.0,6.0,87.0,39.1,24.0,0,1,2.02,26.713067346338594
179,34,163.0,61.0,13.0,96.0,40.1,67.0,1,0,1.63,22.95908765854944
180,78,153.0,54.0,13.0,84.0,40.3,62.0,1,0,1.53,23.06805074971165
181,41,178.0,76.0,28.0,104.0,40.8,172.0,0,1,1.78,23.98687034465345
182,41,172.0,71.0,7.0,87.0,39.5,24.0,0,1,1.72,23.99945916711736
183,24,178.0,77.0,19.0,98.0,40.1,84.0,0,1,1.78,24.302487059714682
184,67,173.0,69.0,20.0,105.0,40.5,132.0,1,0,1.73,23.054562464499313
185,47,179.0,75.0,25.0,110.0,40.7,167.0,1,0,1.79,23.40750912892856
186,42,154.0,52.0,17.0,101.0,40.6,101.0,1,0,1.54,21.926125822229718
187,25,180.0,75.0,23.0,97.0,40.6,113.0,1,0,1.8,23.148148148148145
188,25,179.0,78.0,17.0,101.0,40.3,84.0,0,1,1.79,24.343809494085704
189,58,165.0,68.0,6.0,88.0,39.4,28.0,1,0,1.65,24.977043158861342
190,68,191.0,98.0,22.0,99.0,41.0,157.0,0,1,1.91,26.863298703434666
191,24,181.0,91.0,14.0,97.0,40.4,64.0,0,1,1.81,27.776929886145112
192,38,192.0,92.0,21.0,104.0,40.6,133.0,0,1,1.92,24.95659722222222
193,26,164.0,59.0,23.0,108.0,40.5,145.0,1,0,1.64,21.936347412254616
194,64,178.0,83.0,24.0,103.0,41.0,174.0,0,1,1.78,26.19618735008206
195,49,174.0,75.0,7.0,93.0,39.2,34.0,1,0,1.74,24.772096710265558
196,73,158.0,57.0,29.0,103.0,40.9,193.0,1,0,1.58,22.832879346258608
197,27,180.0,86.0,24.0,107.0,40.7,147.0,0,1,1.8,26.54320987654321
198,66,171.0,72.0,18.0,105.0,40.5,133.0,0,1,1.71,24.622960911049557
199,39,199.0,104.0,26.0,101.0,40.7,161.0,0,1,1.99,26.261963081740358
200,30,168.0,62.0,6.0,76.0,39.4,18.0,1,0,1.68,21.9671201814059
201,76,187.0,96.0,12.0,96.0,40.1,85.0,0,1,1.87,27.45288684263204
202,60,193.0,90.0,15.0,95.0,40.0,90.0,0,1,1.93,24.161722462347985
203,54,188.0,90.0,23.0,108.0,40.9,176.0,0,1,1.88,25.46401086464464
204,49,166.0,66.0,11.0,89.0,39.6,51.0,1,0,1.66,23.95122659311947
205,24,173.0,66.0,7.0,82.0,39.3,24.0,1,0,1.73,22.052190183434128
206,28,161.0,57.0,6.0,83.0,39.5,22.0,1,0,1.61,21.98989236526368
207,72,197.0,102.0,25.0,106.0,40.9,212.0,0,1,1.97,26.282563322940554
208,32,171.0,78.0,29.0,112.0,40.9,201.0,0,1,1.71,26.674874320303687
209,36,159.0,59.0,17.0,93.0,40.3,83.0,1,0,1.59,23.337684427040067
210,65,204.0,103.0,14.0,93.0,40.1,87.0,0,1,2.04,24.750096116878122
211,36,163.0,67.0,27.0,97.0,40.7,141.0,1,0,1.63,25.21735857578381
212,32,159.0,63.0,23.0,103.0,40.3,134.0,1,0,1.59,24.919900320398717
213,42,180.0,84.0,2.0,80.0,38.6,5.0,0,1,1.8,25.925925925925924
214,34,191.0,94.0,29.0,109.0,40.9,201.0,0,1,1.91,25.766837531865903
215,34,181.0,78.0,3.0,86.0,38.2,9.0,0,1,1.81,23.808797045267237
216,26,191.0,86.0,8.0,83.0,39.3,20.0,0,1,1.91,23.573915188728378
217,31,203.0,105.0,29.0,113.0,40.8,221.0,0,1,2.03,25.479870901987436
218,64,157.0,63.0,17.0,105.0,40.1,112.0,1,0,1.57,25.558846200657225
219,34,185.0,93.0,20.0,99.0,40.3,108.0,0,1,1.85,27.173119065010955
220,63,204.0,112.0,29.0,110.0,40.4,257.0,0,1,2.04,26.91272587466359
221,44,194.0,87.0,27.0,108.0,40.8,192.0,0,1,1.94,23.11616537357849
222,36,190.0,96.0,17.0,90.0,40.3,72.0,0,1,1.9,26.59279778393352
223,41,173.0,71.0,28.0,104.0,41.2,169.0,0,1,1.73,23.722810651876106
224,73,168.0,77.0,18.0,97.0,40.3,120.0,0,1,1.68,27.281746031746035
225,31,186.0,85.0,28.0,106.0,40.8,172.0,0,1,1.86,24.56931437160365
226,22,179.0,73.0,10.0,84.0,39.9,21.0,0,1,1.79,22.783308885490467
227,34,161.0,56.0,18.0,102.0,40.6,105.0,1,0,1.61,21.60410477990818
228,21,168.0,65.0,25.0,109.0,40.3,156.0,1,0,1.68,23.030045351473927
229,22,145.0,50.0,3.0,89.0,38.7,13.0,1,0,1.45,23.781212841854934
230,33,190.0,97.0,24.0,100.0,40.8,134.0,0,1,1.9,26.869806094182827
231,51,157.0,60.0,21.0,103.0,40.4,130.0,1,0,1.57,24.341758286340216
232,45,195.0,99.0,2.0,83.0,37.9,7.0,0,1,1.95,26.035502958579883
233,33,175.0,67.0,25.0,101.0,41.1,140.0,1,0,1.75,21.877551020408163
234,47,198.0,97.0,7.0,91.0,39.3,34.0,0,1,1.98,24.742373227221712
235,70,175.0,74.0,9.0,79.0,40.0,34.0,1,0,1.75,24.163265306122447
236,77,160.0,63.0,8.0,92.0,39.5,44.0,1,0,1.6,24.609374999999996
237,35,172.0,71.0,11.0,85.0,39.9,42.0,1,0,1.72,23.99945916711736
238,44,161.0,60.0,2.0,89.0,38.4,9.0,1,0,1.61,23.147255121330193
239,71,164.0,60.0,18.0,97.0,40.5,107.0,1,0,1.64,22.308149910767405
240,54,174.0,75.0,9.0,87.0,39.6,39.0,1,0,1.74,24.772096710265558
241,63,166.0,68.0,26.0,108.0,40.8,178.0,1,0,1.66,24.677021338365513
242,50,149.0,55.0,13.0,101.0,40.4,79.0,1,0,1.49,24.77365884419621
243,63,200.0,105.0,15.0,102.0,40.3,113.0,0,1,2.0,26.25
244,30,163.0,58.0,22.0,109.0,40.5,143.0,1,0,1.63,21.829952199932254
245,33,163.0,57.0,4.0,84.0,38.7,16.0,1,0,1.63,21.453573713726524
246,38,189.0,91.0,24.0,100.0,40.5,137.0,0,1,1.89,25.475210660395845
247,20,183.0,81.0,17.0,97.0,40.5,71.0,0,1,1.83,24.187046492878256
248,67,159.0,62.0,13.0,94.0,40.2,72.0,1,0,1.59,24.524346347059055
249,24,188.0,90.0,14.0,103.0,40.1,76.0,0,1,1.88,25.46401086464464
250,30,197.0,103.0,27.0,109.0,40.5,187.0,0,1,1.97,26.540235512381148
251,35,145.0,49.0,18.0,103.0,40.2,109.0,1,0,1.45,23.305588585017837
252,63,176.0,79.0,29.0,111.0,40.5,204.0,1,0,1.76,25.50361570247934
253,50,157.0,60.0,6.0,91.0,39.4,29.0,1,0,1.57,24.341758286340216
254,33,200.0,101.0,17.0,98.0,40.5,91.0,0,1,2.0,25.25
255,36,163.0,58.0,4.0,84.0,39.0,16.0,1,0,1.63,21.829952199932254
256,75,187.0,97.0,7.0,84.0,39.1,36.0,0,1,1.87,27.738854413909458
257,56,184.0,93.0,13.0,97.0,39.9,80.0,0,1,1.84,27.469281663516067
258,50,182.0,75.0,22.0,111.0,40.6,151.0,1,0,1.82,22.6421929718633
259,24,183.0,80.0,27.0,116.0,40.6,195.0,0,1,1.83,23.888440980620498
260,32,172.0,72.0,8.0,80.0,39.5,26.0,1,0,1.72,24.337479718766904
261,49,193.0,100.0,22.0,99.0,40.5,138.0,0,1,1.93,26.846358291497758
262,77,170.0,65.0,3.0,89.0,39.0,15.0,1,0,1.7,22.49134948096886
263,67,171.0,75.0,19.0,97.0,40.5,120.0,0,1,1.71,25.64891761567662
264,23,182.0,81.0,30.0,112.0,41.0,197.0,0,1,1.82,24.453568409612362
265,37,192.0,95.0,21.0,98.0,40.7,114.0,0,1,1.92,25.770399305555557
266,35,163.0,59.0,20.0,107.0,40.6,127.0,1,0,1.63,22.20633068613798
267,34,185.0,83.0,23.0,97.0,40.8,112.0,0,1,1.85,24.251278305332356
268,49,168.0,67.0,21.0,98.0,40.4,116.0,1,0,1.68,23.738662131519277
269,69,156.0,61.0,8.0,83.0,39.4,35.0,1,0,1.56,25.06574621959237
270,49,194.0,101.0,16.0,103.0,40.4,110.0,0,1,1.94,26.83600807737273
271,41,150.0,51.0,22.0,95.0,40.2,117.0,1,0,1.5,22.666666666666668
272,42,195.0,95.0,17.0,105.0,40.2,115.0,0,1,1.95,24.983563445101908
273,52,188.0,93.0,21.0,107.0,40.6,157.0,0,1,1.88,26.312811226799457
274,26,158.0,60.0,12.0,91.0,40.0,54.0,1,0,1.58,24.034609838166958
275,79,178.0,80.0,25.0,104.0,40.5,163.0,1,0,1.78,25.24933720489837
276,72,172.0,82.0,19.0,107.0,40.5,156.0,0,1,1.72,27.717685235262305
277,34,195.0,92.0,10.0,91.0,39.9,42.0,0,1,1.95,24.194608809993426
278,60,152.0,50.0,7.0,89.0,39.8,35.0,1,0,1.52,21.641274238227147
279,45,158.0,57.0,7.0,91.0,39.3,34.0,1,0,1.58,22.832879346258608
280,33,188.0,92.0,19.0,98.0,40.4,99.0,0,1,1.88,26.029877772747852
281,56,192.0,97.0,20.0,109.0,40.5,161.0,0,1,1.92,26.31293402777778
282,21,153.0,54.0,8.0,94.0,39.8,38.0,1,0,1.53,23.06805074971165
283,50,161.0,61.0,18.0,99.0,40.5,104.0,1,0,1.61,23.533042706685695
284,60,184.0,86.0,27.0,105.0,41.0,200.0,0,1,1.84,25.401701323251416
285,39,162.0,72.0,28.0,108.0,40.7,183.0,0,1,1.62,27.43484224965706
286,48,175.0,75.0,19.0,110.0,40.7,140.0,0,1,1.75,24.489795918367346
287,38,163.0,65.0,19.0,97.0,40.5,100.0,1,0,1.63,24.46460160337235
288,54,190.0,95.0,22.0,110.0,40.3,178.0,0,1,1.9,26.315789473684212
289,23,195.0,89.0,27.0,104.0,41.0,150.0,0,1,1.95,23.405654174884944
290,72,164.0,68.0,15.0,94.0,40.2,83.0,1,0,1.64,25.282569898869724
291,47,179.0,79.0,6.0,74.0,39.3,12.0,0,1,1.79,24.65590961580475
292,58,170.0,72.0,8.0,103.0,39.9,49.0,1,0,1.7,24.913494809688583
293,41,179.0,85.0,25.0,101.0,40.8,147.0,0,1,1.79,26.528510346119035
294,62,193.0,100.0,8.0,90.0,39.4,44.0,0,1,1.93,26.846358291497758
295,30,168.0,67.0,29.0,107.0,40.9,179.0,1,0,1.68,23.738662131519277
296,32,156.0,56.0,23.0,113.0,40.5,161.0,1,0,1.56,23.011176857330703
297,20,178.0,80.0,9.0,84.0,39.4,20.0,0,1,1.78,25.24933720489837
298,53,168.0,65.0,21.0,102.0,40.5,127.0,1,0,1.68,23.030045351473927
299,51,189.0,95.0,30.0,112.0,41.0,247.0,0,1,1.89,26.595000139973685
300,78,177.0,86.0,23.0,100.0,40.8,173.0,0,1,1.77,27.450604870886398
301,31,169.0,69.0,1.0,74.0,37.6,3.0,1,0,1.69,24.158817968558527
302,74,205.0,112.0,6.0,83.0,39.0,32.0,0,1,2.05,26.65080309339679
303,50,177.0,70.0,22.0,106.0,40.9,140.0,1,0,1.77,22.34351559258195
304,40,160.0,70.0,8.0,88.0,40.0,34.0,1,0,1.6,27.343749999999996
305,41,172.0,75.0,8.0,88.0,39.7,30.0,0,1,1.72,25.351541373715524
306,26,161.0,54.0,13.0,94.0,40.3,64.0,1,0,1.61,20.832529609197174
307,25,185.0,89.0,27.0,104.0,40.8,152.0,0,1,1.85,26.004382761139514
308,31,184.0,89.0,15.0,105.0,39.9,91.0,0,1,1.84,26.287807183364837
309,20,186.0,90.0,4.0,83.0,38.8,9.0,0,1,1.86,26.014568158168572
310,55,176.0,72.0,5.0,84.0,39.3,20.0,1,0,1.76,23.243801652892564
311,52,160.0,59.0,25.0,103.0,40.7,156.0,1,0,1.6,23.046874999999996
312,60,208.0,105.0,26.0,110.0,40.6,223.0,0,1,2.08,24.269600591715975
313,36,191.0,93.0,16.0,97.0,40.0,83.0,0,1,1.91,25.492722238973712
314,53,168.0,69.0,11.0,89.0,40.0,51.0,1,0,1.68,24.44727891156463
315,36,193.0,95.0,10.0,97.0,40.0,52.0,0,1,1.93,25.50404037692287
